Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,WHIP,BABIP,FIP,xFIP,GB%,FB%,SwStr%,PlayerId
Burch Smith,PIT,"A,AAA",35,2,0,6.75,20,0,0,0,0,2,,21.1,102,22,18,13,1,0,1,28,11.81,5.48,2.15,1.69,27.5,12.7,14.7,1.64,0.321,5.28,4.36,45.0,31.7,11.1,12784
Mike Clevinger,CHW,AAA,34,7,3,4.20,22,22,0,0,0,0,,100.2,425,98,51,36,2,1,0,93,8.31,3.22,2.58,1.52,21.9,8.5,13.4,1.33,0.292,4.98,4.55,38.7,36.2,11.8,12808
Colten Brewer,NYY,AAA,32,1,1,3.94,22,0,0,0,5,1,,29.2,118,19,13,15,2,2,1,32,9.71,4.55,2.13,0.91,27.1,12.7,14.4,1.15,0.242,4.37,4.09,44.9,26.1,13.7,12997
Anthony DeSclafani,NYY,AAA,35,1,1,4.50,5,5,0,0,0,0,,20,90,24,11,9,0,1,0,20,9.00,4.05,2.22,0.45,22.2,10.0,12.2,1.65,0.383,3.50,4.38,42.4,30.5,11.3,13050
Jordan Weems,ATL,AAA,32,5,2,4.44,39,0,0,0,1,1,,46.2,206,46,25,23,1,2,0,49,9.45,4.44,2.13,0.96,23.8,11.2,12.6,1.48,0.320,4.62,4.65,45.0,28.2,13.0,13190
Michael Fulmer,CHC,AAA,32,1,3,3.39,45,4,0,0,5,1,,66.1,277,53,30,29,3,1,0,86,11.67,3.93,2.97,0.95,31.0,10.5,20.6,1.24,0.303,3.81,3.97,27.7,38.1,13.5,13218
Jesse Hahn,SEA,AAA,35,0,2,5.85,35,0,0,0,9,4,,32.1,152,38,24,16,2,2,0,34,9.46,4.45,2.13,0.84,22.4,10.5,11.8,1.67,0.361,4.74,4.50,64.3,17.3,9.7,13287
Adrian Sampson,WSN,"AA,AAA,CPX",33,6,5,3.95,19,19,0,0,0,0,,100.1,419,90,47,36,5,2,3,65,5.83,3.23,1.81,0.99,15.5,8.6,6.9,1.26,0.262,4.83,5.63,42.2,38.3,7.8,13339
Tyler Naquin,CLE,"A+,CPX",34,3,0,6.16,27,0,0,0,0,0,,30.2,138,19,22,29,0,8,6,20,5.87,8.51,0.69,0.00,14.5,21.0,-6.5,1.57,0.213,5.44,6.48,42.4,40.0,9.9,13359
Lucas Sims,PHI,AAA,31,4,1,5.56,34,0,0,0,1,4,,34,156,23,21,29,9,5,0,36,9.53,7.68,1.24,1.06,23.1,18.6,4.5,1.53,0.244,6.26,6.24,43.9,36.6,9.6,13470
Matt Bowman,BAL,AAA,34,3,4,3.93,31,1,0,0,1,1,,36.2,154,34,19,9,2,2,0,35,8.59,2.21,3.89,1.47,22.7,5.8,16.9,1.17,0.275,4.75,4.14,42.3,30.8,6.4,13528
